pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.125,rates_317cc5aa69ec700d,rates_73659cb088efe49c,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,1.0,0.0013829595716806642,0.001349675138547779,0.001335164193711158,0.0013018788028587,-9.577195729179588e-10,-6.129405266674937e-08,-1.8388215800024808e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.5,rates_7f6d8a2c30c891ba,rates_d40c9e1dbffac54a,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,2.0,0.003345879633840476,0.0032130852810559,0.0031587185580059,0.0030258929745734,-3.1230647924099936e-08,-1.2492259169639974e-07,-3.7476777508919924e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.25,rates_f3dafc52d87fad36,rates_19f143240f6c0d42,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,2.0,0.0031859151532831476,0.0031195106026273844,0.003092293721657091,0.0030258929745734,3.8035720718865296e-09,6.085715315018447e-08,1.825714594505534e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.125,rates_317cc5aa69ec700d,rates_73659cb088efe49c,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,2.0,0.003105907981004963,0.003072719722451822,0.003059105209132107,0.0030258929745734,-2.3976005566334058e-08,-1.5344643562453797e-06,-4.6033930687361385e-08
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.5,rates_7f6d8a2c30c891ba,rates_d40c9e1dbffac54a,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,3.0,0.005666033569637241,0.0055336339464873,0.0054828599167102,0.0053504253160057,-3.497755455845325e-08,-1.39910218233813e-07,-4.19730654701439e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.25,rates_f3dafc52d87fad36,rates_19f143240f6c0d42,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,3.0,0.005508261026980876,0.005442035739808615,0.005416654853887204,0.0053504253160057,-4.250709242925588e-09,-6.80113478868094e-08,-2.040340436604282e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.125,rates_317cc5aa69ec700d,rates_73659cb088efe49c,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,3.0,0.005429344387122392,0.005396216920752983,0.005383548549920958,0.0053504253160057,4.232454151043008e-09,2.708770656667525e-07,8.126311970002574e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.5,rates_7f6d8a2c30c891ba,rates_d40c9e1dbffac54a,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,4.0,0.008532662036015992,0.0084007493446396,0.0083533707467529,0.0082214370008468,-2.1054529708228187e-08,-8.421811883291275e-08,-2.526543564987382e-09
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.25,rates_f3dafc52d87fad36,rates_19f143240f6c0d42,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,4.0,0.008377058226754719,0.008311116146643038,0.008287432554183072,0.0082214370008468,-5.347322459131609e-08,-8.555715934610575e-07,-2.5667147803831724e-08
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.125,rates_317cc5aa69ec700d,rates_73659cb088efe49c,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,4.0,0.008299276730496907,0.008266264438300697,0.008254464019267993,0.0082214370008468,-1.4726224982497538e-08,-9.424783988798424e-07,-2.827435196639527e-08
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.5,rates_54a013cf33b2c347,rates_a6ce76b38e46ff5e,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,0.01,0.000661849431265793,0.0003820584352766,0.0005286263298017,0.0002487641440845,-7.118972800699338e-08,-2.847589120279735e-07,-2.1356918402098012e-08
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.25,rates_6e01843442f079fc,rates_19b7663e2fbbc419,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,0.01,0.00045534088519905147,0.0003154006888763661,0.0003887068048520348,0.0002487641440845,-2.464444849418785e-09,-3.943111759070056e-08,-2.957333819302542e-09
