nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
1.0,coherent_h_XX,0.5,0.5,0.25,1.7147806178480218e-08,2.5664951196769293e-08,-8.517145018289075e-09,2.5666130203554774e-08,-8.518324025074555e-09,-0.0052311126376803335,-0.005231836767336714
1.0,coherent_h_XX,1.0,0.5,0.5,6.152341436999055e-08,5.132990239353859e-08,1.0193511976451963e-08,5.132425580055897e-08,1.0199158569431579e-08,0.006260714031269989,0.00626418209055888
1.0,coherent_h_XX,2.0,0.5,1.0,1.0321129124621353e-07,1.0265980478707717e-07,5.514864591363586e-10,1.0265858079160677e-07,5.527104546067636e-10,0.00033871535352550576,0.00033946711460976
1.0,coherent_h_XX,4.0,0.5,2.0,2.0088110188470898e-07,2.0531960957415435e-07,-4.4385076894453684e-09,2.053592778456422e-07,-4.4781759609332245e-09,-0.0027260700172231076,-0.0027504337207704195
1.0,coherent_h_XX,0.5,1.0,0.5,4.79882031993728e-08,5.132990239353859e-08,-3.3416991941657838e-09,5.133175349404775e-08,-3.3435502946749493e-09,-0.002052425413491241,-0.002053562333814462
1.0,coherent_h_XX,1.0,1.0,1.0,1.0828838805862496e-07,1.0265980478707717e-07,5.628583271547791e-09,1.0264731243968576e-07,5.641075618939202e-09,0.0034569979753549425,0.003464670602294272
1.0,coherent_h_XX,2.0,1.0,2.0,2.367174770992464e-07,2.0531960957415435e-07,3.139786752509205e-08,2.0503899743596056e-07,3.167847966328584e-08,0.01928413585233467,0.01945648394541515
1.0,coherent_h_XX,4.0,1.0,4.0,4.083833305100482e-07,4.106392191483087e-07,-2.255888638260483e-09,4.107220872056189e-07,-2.3387566955706915e-09,-0.0013855355919693427,-0.001436432006310604
1.0,coherent_h_XX,0.5,2.0,1.0,9.787104922331925e-08,1.0265980478707717e-07,-4.788755563757921e-09,1.0267043318061583e-07,-4.799383957296575e-09,-0.002941187416034889,-0.0029477152283051864
1.0,coherent_h_XX,1.0,2.0,2.0,2.135047591778072e-07,2.0531960957415435e-07,8.185149603652854e-09,2.0524645644265963e-07,8.258302735147575e-09,0.00502720564708358,0.005072135288392517
1.0,coherent_h_XX,2.0,2.0,4.0,4.203679542444383e-07,4.106392191483087e-07,9.728735096129596e-09,4.102818427407023e-07,1.008611150373598e-08,0.005975254501446888,0.00619475014678628
1.0,coherent_h_XX,4.0,2.0,8.0,8.280212841077494e-07,8.212784382966174e-07,6.7428458111320545e-09,8.201649607751533e-07,7.85632333259619e-09,0.004141362611626443,0.004825245100629088
1.0,coherent_h_XX,0.5,4.0,2.0,2.0094538877649118e-07,2.0531960957415435e-07,-4.374220797663169e-09,2.0535870329445188e-07,-4.413314517960702e-09,-0.002686585897683412,-0.002710596719838398
1.0,coherent_h_XX,1.0,4.0,4.0,4.167353825253184e-07,4.106392191483087e-07,6.096163377009692e-09,4.1041528202325283e-07,6.320100502065556e-09,0.003744179207276834,0.00388171829137251
