context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,YI,-8.641661090056166e-12
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,YX,4.5501055092494243e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,YY,3.3939462275610127e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,YZ,1.5883849100508394e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,ZI,1.411390371389772e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,ZX,7.869780865913761e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,ZY,1.9240052156965987e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,ZZ,4.500306429649593e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,IY",-4.8804651948531415e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,IZ",3.5403499765557887e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,XI",-6.473509499305807e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,XX",-5.098213083288975e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,XY",-1.4377596136547407e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,XZ",3.4646827010598695e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,YI",-4.52489678800629e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,YX",7.664811313776253e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,YY",-1.730480996903596e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,YZ",-1.1543565833903563e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,ZI",6.353984971649106e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,"IX,ZX",-4.1801311581963094e-10
