noise_source,noise_title,nominal_rate_s^-1,nbar,pauli,pauli_weight,mode_class,delta_h_rad_per_gate,delta_gamma_per_gate,dh_drate_s,dgamma_drate_s
motional_heating,Motional heating/diffusion,10.0,2.0,XI,1,local,6.349618876715699e-09,0.00023449272748801643,6.349618876715699e-10,2.3449272748801645e-05
motional_heating,Motional heating/diffusion,10.0,2.0,XX,2,weight2,8.403015461660305e-06,5.80451045933394e-07,8.403015461660306e-07,5.8045104593339394e-08
motional_heating,Motional heating/diffusion,10.0,2.0,XY,2,weight2,-3.880944237117017e-09,2.7622813051768603e-09,-3.8809442371170173e-10,2.7622813051768605e-10
motional_heating,Motional heating/diffusion,10.0,2.0,XZ,2,weight2,6.586294053437757e-09,5.781925265683436e-09,6.586294053437757e-10,5.781925265683436e-10
motional_heating,Motional heating/diffusion,10.0,2.0,YI,1,local,-1.1136026268171428e-08,-8.320726249055585e-10,-1.1136026268171429e-09,-8.320726249055586e-11
motional_heating,Motional heating/diffusion,10.0,2.0,YX,2,weight2,-1.0411544543521165e-08,2.484335937078619e-09,-1.0411544543521165e-09,2.484335937078619e-10
motional_heating,Motional heating/diffusion,10.0,2.0,YY,2,weight2,1.2248017006372315e-08,4.2829050823763724e-10,1.2248017006372315e-09,4.2829050823763726e-11
motional_heating,Motional heating/diffusion,10.0,2.0,YZ,2,weight2,3.0817499494320355e-09,2.074192361109179e-10,3.0817499494320356e-10,2.074192361109179e-11
motional_heating,Motional heating/diffusion,10.0,2.0,ZI,1,local,-5.197487989524665e-10,-6.407273733019715e-09,-5.1974879895246644e-11,-6.407273733019715e-10
motional_heating,Motional heating/diffusion,10.0,2.0,ZX,2,weight2,6.355827979852271e-09,-7.971464692813104e-09,6.355827979852271e-10,-7.971464692813104e-10
motional_heating,Motional heating/diffusion,10.0,2.0,ZY,2,weight2,3.0079258150947656e-09,2.5224349384183636e-10,3.007925815094766e-10,2.5224349384183636e-11
motional_heating,Motional heating/diffusion,10.0,2.0,ZZ,2,weight2,-1.037180401534785e-15,-2.580261849959033e-10,-1.037180401534785e-16,-2.580261849959033e-11
motional_heating,Motional heating/diffusion,10.0,3.0,IX,1,local,8.859148345556285e-09,0.0002299681347266796,8.859148345556285e-10,2.2996813472667958e-05
motional_heating,Motional heating/diffusion,10.0,3.0,IY,1,local,1.3390084442758865e-08,4.133541981748566e-09,1.3390084442758864e-09,4.133541981748566e-10
motional_heating,Motional heating/diffusion,10.0,3.0,IZ,1,local,-2.1538243373139254e-10,1.991150485750417e-08,-2.1538243373139253e-11,1.991150485750417e-09
motional_heating,Motional heating/diffusion,10.0,3.0,XI,1,local,-2.4929575994788083e-08,0.0002299810581231839,-2.4929575994788085e-09,2.299810581231839e-05
motional_heating,Motional heating/diffusion,10.0,3.0,XX,2,weight2,9.11498462689928e-06,7.2239731644014e-07,9.11498462689928e-07,7.223973164401399e-08
motional_heating,Motional heating/diffusion,10.0,3.0,XY,2,weight2,1.1496691975379487e-08,6.6423743971146785e-09,1.1496691975379486e-09,6.642374397114679e-10
motional_heating,Motional heating/diffusion,10.0,3.0,XZ,2,weight2,-1.711323580075993e-10,3.7713902963463505e-09,-1.711323580075993e-11,3.7713902963463507e-10
motional_heating,Motional heating/diffusion,10.0,3.0,YI,1,local,-6.685389858242077e-10,9.639245670527588e-09,-6.685389858242077e-11,9.639245670527588e-10
motional_heating,Motional heating/diffusion,10.0,3.0,YX,2,weight2,2.9146188426157342e-08,-9.458111534977763e-10,2.9146188426157343e-09,-9.458111534977763e-11
motional_heating,Motional heating/diffusion,10.0,3.0,YY,2,weight2,8.554844306637966e-10,-1.1419579527349186e-08,8.554844306637966e-11,-1.1419579527349187e-09
motional_heating,Motional heating/diffusion,10.0,3.0,YZ,2,weight2,3.5582403311959778e-09,2.33395691499068e-09,3.5582403311959777e-10,2.3339569149906796e-10
motional_heating,Motional heating/diffusion,10.0,3.0,ZI,1,local,1.880075482899236e-09,1.97884698257964e-09,1.8800754828992359e-10,1.9788469825796398e-10
motional_heating,Motional heating/diffusion,10.0,3.0,ZX,2,weight2,-2.3000164685410163e-10,6.0043868403824864e-09,-2.3000164685410162e-11,6.004386840382487e-10
motional_heating,Motional heating/diffusion,10.0,3.0,ZY,2,weight2,-2.1560887456042725e-08,-3.0229506035286317e-09,-2.1560887456042726e-09,-3.0229506035286315e-10
motional_heating,Motional heating/diffusion,10.0,3.0,ZZ,2,weight2,-2.8651677411201587e-16,-3.90193547670214e-09,-2.865167741120159e-17,-3.90193547670214e-10
motional_heating,Motional heating/diffusion,10.0,4.0,IX,1,local,1.3038576176658097e-08,0.00022557499131858262,1.3038576176658097e-09,2.2557499131858262e-05
motional_heating,Motional heating/diffusion,10.0,4.0,IY,1,local,4.6327830815145775e-09,-8.81767596926878e-10,4.6327830815145776e-10,-8.81767596926878e-11
motional_heating,Motional heating/diffusion,10.0,4.0,IZ,1,local,1.6552998715946052e-09,-8.391081365611536e-10,1.6552998715946051e-10,-8.391081365611535e-11
motional_heating,Motional heating/diffusion,10.0,4.0,XI,1,local,-4.345441976462236e-09,0.00022558000396420545,-4.3454419764622363e-10,2.2558000396420543e-05
motional_heating,Motional heating/diffusion,10.0,4.0,XX,2,weight2,9.901173078002977e-06,1.0241292651211213e-06,9.901173078002977e-07,1.0241292651211212e-07
motional_heating,Motional heating/diffusion,10.0,4.0,XY,2,weight2,6.93066778551408e-09,-4.271783262479259e-09,6.93066778551408e-10,-4.2717832624792593e-10
motional_heating,Motional heating/diffusion,10.0,4.0,XZ,2,weight2,5.0116357242358205e-09,-1.341793402583428e-09,5.011635724235821e-10,-1.341793402583428e-10
motional_heating,Motional heating/diffusion,10.0,4.0,YI,1,local,-1.1280101965416138e-08,-1.351174614365424e-09,-1.1280101965416139e-09,-1.351174614365424e-10
motional_heating,Motional heating/diffusion,10.0,4.0,YX,2,weight2,-6.132597283789526e-10,-4.395481651382231e-10,-6.132597283789526e-11,-4.395481651382231e-11
motional_heating,Motional heating/diffusion,10.0,4.0,YY,2,weight2,7.922860843479225e-09,-5.1296371422557105e-09,7.922860843479225e-10,-5.12963714225571e-10
motional_heating,Motional heating/diffusion,10.0,4.0,YZ,2,weight2,-3.5994630027346856e-09,-5.584235645152892e-10,-3.5994630027346854e-10,-5.584235645152892e-11
motional_heating,Motional heating/diffusion,10.0,4.0,ZI,1,local,-2.0737742942327463e-09,1.472683794100189e-10,-2.0737742942327462e-10,1.472683794100189e-11
motional_heating,Motional heating/diffusion,10.0,4.0,ZX,2,weight2,1.195661609687044e-09,-9.893982099484102e-10,1.195661609687044e-10,-9.893982099484102e-11
motional_heating,Motional heating/diffusion,10.0,4.0,ZY,2,weight2,2.3332044989364967e-09,-3.148047255386629e-09,2.3332044989364966e-10,-3.148047255386629e-10
motional_heating,Motional heating/diffusion,10.0,4.0,ZZ,2,weight2,1.991569720070704e-16,-5.158794099501504e-09,1.9915697200707038e-17,-5.158794099501504e-10
photon_scattering,Photon scattering,4.0,0.01,IX,1,local,1.489980154140932e-09,2.4998392124725306e-05,3.72495038535233e-10,6.2495980311813265e-06
photon_scattering,Photon scattering,4.0,0.01,IY,1,local,-5.915595624727158e-09,4.913970176190197e-05,-1.4788989061817895e-09,1.2284925440475493e-05
photon_scattering,Photon scattering,4.0,0.01,IZ,1,local,9.865313577477385e-11,0.00011335842869305951,2.466328394369346e-11,2.8339607173264877e-05
photon_scattering,Photon scattering,4.0,0.01,XI,1,local,6.471046509715513e-10,2.5003089950510142e-05,1.6177616274288784e-10,6.2507724876275356e-06
photon_scattering,Photon scattering,4.0,0.01,XX,2,weight2,1.3103316019681328e-08,4.744117928528126e-09,3.275829004920332e-09,1.1860294821320314e-09
photon_scattering,Photon scattering,4.0,0.01,XY,2,weight2,4.832298923257595e-09,0.00011334867352421951,1.2080747308143987e-09,2.8337168381054877e-05
photon_scattering,Photon scattering,4.0,0.01,XZ,2,weight2,-6.252002490055571e-10,4.914224121833648e-05,-1.5630006225138928e-10,1.228556030458412e-05
photon_scattering,Photon scattering,4.0,0.01,YI,1,local,4.999975104024417e-09,4.9141508646694184e-05,1.2499937760061042e-09,1.2285377161673546e-05
photon_scattering,Photon scattering,4.0,0.01,YX,2,weight2,-6.182740929078962e-09,0.00011334984929318222,-1.5456852322697405e-09,2.8337462323295556e-05
photon_scattering,Photon scattering,4.0,0.01,YY,2,weight2,-1.0462928174276086e-09,-9.866295107226207e-09,-2.6157320435690214e-10,-2.4665737768065518e-09
